millis,sync4_train_start,bnc_interval_ms,sync4_interval_ms,,,,,
3737586.27,48:03.2,66.85,67,-0.15,,,,
3759423.38,48:25.0,21837.11,21837,0.11,,,,
3759490.23,48:25.1,66.85,67,-0.15,,,,
3768758.19,48:34.4,9267.96,9268,-0.04,,,,
3771971.01,48:37.6,3212.82,3212,0.82,,,,
3793399.57,48:59.0,21428.56,21429,-0.44,,,,
3809311.99,49:14.9,15912.42,15913,-0.58,,,,
3809379.77,49:15.0,67.78,67,0.78,,,,
3929884.49,51:15.5,120504.72,120505,-0.28,,,,
3929951.35,51:15.5,66.86,67,-0.14,,,,
3985953.36,52:11.6,56002.01,56002,0.01,,,,
3988517.94,52:14.1,2564.58,2565,-0.42,,,,
3991171.78,52:16.8,2653.84,2653,0.84,,,,
4026285.77,52:51.9,35113.99,35115,-1.01,,,,
4026905.47,52:52.5,619.7,619,0.7,,,,
4026973.52,52:52.6,68.05,68,0.05,,,,
4027620.42,52:53.2,646.9,647,-0.1,,,,
4027683.43,52:53.3,63.01,63,0.01,,,,
4027751.49,52:53.3,68.06,68,0.06,,,,
4028228.79,52:53.8,477.3,478,-0.7,,,,
4110050.67,54:15.6,81821.88,81822,-0.12,,,,
4110466.67,54:16.1,416,416,0,,,,
4110534.73,54:16.1,68.06,68,0.06,,,,
4111255.64,54:16.9,720.91,720,0.91,,,,
4111318.66,54:16.9,63.02,63,0.02,,,,
4111386.71,54:17.0,68.05,69,-0.95,,,,
4111864.01,54:17.5,477.3,477,0.3,,,,
4124827.98,54:30.4,12963.97,12964,-0.03,,,,
4125287.84,54:30.9,459.86,460,-0.14,,,,
4125355.9,54:31.0,68.06,68,0.06,,,,
4126062.42,54:31.7,706.52,706,0.52,,,,
4126125.44,54:31.7,63.02,63,0.02,,,,
4126193.49,54:31.8,68.05,68,0.05,,,,
4126611.06,54:32.2,417.57,418,-0.43,,,,
4152069.99,54:57.7,25458.93,25459,-0.07,,,,
4152529.18,54:58.1,459.19,459,0.19,,,,
4152597.23,54:58.2,68.05,68,0.05,,,,
4153346.13,54:58.9,748.9,749,-0.1,,,,
4153409.15,54:59.0,63.02,63,0.02,,,,
4153477.2,54:59.1,68.05,68,0.05,,,,
4153835.21,54:59.4,358.01,358,0.01,,,,
4210117.78,55:55.7,56282.57,56283,-0.43,,,,
4210184.64,55:55.8,66.86,67,-0.140000001,,,,
4210838.36,55:56.4,653.72,653,0.720000001,,,,
4210905.22,55:56.5,66.86,67,-0.140000001,,,,
4211300.4,55:56.9,395.18,395,0.180000001,,,,
4211367.26,55:57.0,66.86,67,-0.140000001,,,,
4211438.54,55:57.0,71.28,71,0.28,,,,
4211653.48,55:57.3,214.94,215,-0.06,,,,
4211720.34,55:57.3,66.86,67,-0.140000001,,,,
4211880.96,55:57.5,160.62,161,-0.38,,,,
4211947.82,55:57.5,66.86,67,-0.14,,,,
4212114.68,55:57.7,166.86,167,-0.140000001,,,,
4212181.54,55:57.8,66.86,66,0.86,,,,
4212477.92,55:58.1,296.38,297,-0.62,,,,
4212544.78,55:58.1,66.86,67,-0.14,,,,
4212839.45,55:58.4,294.67,294,0.67,,,,
4212906.31,55:58.5,66.86,67,-0.140000001,,,,
4213222.41,55:58.8,316.1,316,0.100000001,,,,
4213289.27,55:58.9,66.86,67,-0.140000001,,,,
4213455.78,55:59.1,166.51,167,-0.489999999,,,,
4213522.64,55:59.1,66.86,67,-0.140000001,,,,
4213843.4,55:59.4,320.76,320,0.760000001,,,,
4213910.25,55:59.5,66.85,67,-0.15,,,,
4214235.43,55:59.8,325.18,325,0.18,,,,
4214302.29,55:59.9,66.86,67,-0.14,,,,
4215646.44,56:01.2,1344.15,1344,0.15,,,,
4215713.3,56:01.3,66.86,67,-0.140000001,,,,
4216059.34,56:01.7,346.04,346,0.04,,,,
4216126.2,56:01.7,66.86,67,-0.14,,,,
4218932.23,56:04.5,2806.03,2806,0.03,,,,
4218999.09,56:04.6,66.86,67,-0.140000001,,,,
4219216.16,56:04.8,217.07,217,0.07,,,,
4219283.02,56:04.9,66.86,67,-0.140000001,,,,
4219760.68,56:05.4,477.66,478,-0.34,,,,
4219827.54,56:05.4,66.86,66,0.86,,,,
4220593.84,56:06.2,766.3,767,-0.7,,,,
4220660.7,56:06.3,66.86,67,-0.14,,,,
4221953.85,56:07.6,1293.15,1293,0.149999999,,,,
4222020.71,56:07.6,66.86,67,-0.14,,,,
4222091.98,56:07.7,71.27,71,0.27,,,,
4231351.62,56:16.9,9259.64,9260,-0.36,,,,
4231418.48,56:17.0,66.86,66,0.86,,,,
4232025.89,56:17.6,607.41,608,-0.590000001,,,,
4232092.75,56:17.7,66.86,67,-0.14,,,,
4232427.9,56:18.0,335.15,335,0.15,,,,
4232494.76,56:18.1,66.86,67,-0.140000001,,,,
4232569.45,56:18.2,74.69,74,0.69,,,,
4233245.15,56:18.8,675.7,676,-0.3,,,,
4233312.01,56:18.9,66.86,67,-0.140000001,,,,
4233477.38,56:19.1,165.37,165,0.37,,,,
4233544.24,56:19.1,66.86,67,-0.14,,,,
4234122.72,56:19.7,578.48,579,-0.52,,,,
4234189.58,56:19.8,66.86,67,-0.14,,,,
4234353.75,56:20.0,164.17,164,0.17,,,,
4234420.61,56:20.0,66.86,67,-0.14,,,,
4234516.43,56:20.1,95.82,95,0.819999999,,,,
4235225.59,56:20.8,709.16,710,-0.84,,,,
4235292.45,56:20.9,66.86,66,0.86,,,,
4235744.78,56:21.3,452.33,453,-0.67,,,,
4235811.64,56:21.4,66.86,67,-0.140000001,,,,
4255862.87,56:41.5,20051.23,20051,0.23,,,,
4255929.73,56:41.5,66.86,67,-0.14,,,,
4256442.26,56:42.0,512.53,512,0.529999999,,,,
4256509.12,56:42.1,66.86,67,-0.14,,,,
4256946.52,56:42.5,437.4,438,-0.600000001,,,,
4257013.38,56:42.6,66.86,66,0.86,,,,
4257084.64,56:42.7,71.26,72,-0.74,,,,
4257174.45,56:42.8,89.81,89,0.810000001,,,,
4257241.31,56:42.8,66.86,67,-0.140000001,,,,
4257951.56,56:43.5,710.25,711,-0.75,,,,
4258018.41,56:43.6,66.85,66,0.850000001,,,,
4258089.68,56:43.7,71.27,72,-0.73,,,,
4258183.67,56:43.8,93.99,94,-0.01,,,,
4258250.53,56:43.8,66.86,67,-0.14,,,,
4258345.93,56:43.9,95.4,95,0.399999999,,,,
4259581.81,56:45.2,1235.88,1236,-0.12,,,,
4259648.66,56:45.2,66.85,67,-0.149999999,,,,
4259733.41,56:45.3,84.75,84,0.75,,,,
4263094.41,56:48.7,3361,3361,0,,,,
4263161.27,56:48.8,66.86,67,-0.140000001,,,,
4263875.97,56:49.5,714.7,715,-0.3,,,,
4263942.84,56:49.5,66.87,67,-0.13,,,,
4264023.33,56:49.6,80.49,80,0.49,,,,
4270165.71,56:55.8,6142.38,6143,-0.62,,,,
4270569.36,56:56.2,403.65,403,0.65,,,,
4270637.41,56:56.2,68.05,68,0.05,,,,
4271336.87,56:56.9,699.46,700,-0.54,,,,
4271399.89,56:57.0,63.02,63,0.02,,,,
4271467.94,56:57.1,68.05,68,0.050000001,,,,
4272064.66,56:57.7,596.72,597,-0.28,,,,
4285358.5,57:11.0,13293.84,13294,-0.16,,,,
4285887.74,57:11.5,529.24,529,0.24,,,,
4285955.8,57:11.6,68.06,68,0.06,,,,
4286669.89,57:12.3,714.09,714,0.09,,,,
4286732.9,57:12.3,63.01,63,0.010000001,,,,
4286800.96,57:12.4,68.06,68,0.06,,,,
4294094.99,57:19.7,7294.03,7294,0.03,,,,
4294162.76,57:19.8,67.77,68,-0.23,,,,
4297632.33,57:23.2,3469.57,3469,0.57,,,,
4297700.11,57:23.3,67.78,68,-0.22,,,,
4301931.29,57:27.5,4231.18,4231,0.18,,,,
4301999.07,57:27.6,67.78,68,-0.22,,,,
4321392.02,57:47.0,19392.95,19393,-0.050000001,,,,
4321459.79,57:47.1,67.77,68,-0.23,,,,
4324245.4,57:49.8,2785.61,2785,0.61,,,,
4324313.17,57:49.9,67.77,68,-0.23,,,,
4324433.59,57:50.0,120.42,121,-0.58,,,,
4348563.61,58:14.2,24130.02,24130,0.02,,,,
4348631.39,58:14.2,67.78,67,0.779999999,,,,
4368666.09,58:34.3,20034.7,20035,-0.3,,,,
4368732.95,58:34.3,66.86,67,-0.14,,,,
4369612.13,58:35.2,879.18,879,0.18,,,,
4369678.99,58:35.3,66.86,67,-0.14,,,,
4476572.48,00:22.2,106893.49,106894,-0.51,,,,
4476640.25,00:22.2,67.77,67,0.77,,,,
4478157.06,00:23.8,1516.81,1517,-0.19,,,,
4478224.83,00:23.8,67.77,68,-0.23,,,,
4483356.07,00:29.0,5131.24,5131,0.24,,,,
4483423.85,00:29.0,67.78,68,-0.220000001,,,,
4484860.45,00:30.5,1436.6,1437,-0.399999999,,,,
4484928.23,00:30.5,67.78,67,0.78,,,,
5056814.94,10:02.4,571886.71,571888,-1.29,,,,
5118019.92,11:03.6,61204.98,61205,-0.02,,,,
5118087.71,11:03.7,67.79,68,-0.21,,,,
5125049.95,11:10.6,6962.24,6962,0.24,,,,
5125116.81,11:10.7,66.86,67,-0.140000001,,,,
5125208.14,11:10.8,91.33,91,0.33,,,,
5156620.56,11:42.2,31412.42,31412,0.42,,,,
5156688.35,11:42.3,67.79,68,-0.21,,,,
5165594.5,11:51.2,8906.15,8906,0.15,,,,
5170400.32,11:56.0,4805.82,4806,-0.18,,,,
5172950.91,11:58.5,2550.59,2551,-0.41,,,,
5180299.13,12:05.9,7348.22,7348,0.22,,,,
5183154.04,12:08.8,2854.91,2855,-0.09,,,,
5188727.63,12:14.3,5573.59,5574,-0.41,,,,
5195310.58,12:20.9,6582.95,6583,-0.05,,,,
5219901.51,12:45.5,24590.93,24590,0.93,,,,
5220306.9,12:45.9,405.39,406,-0.609999999,,,,
5220374.96,12:46.0,68.06,68,0.06,,,,
5221124.05,12:46.7,749.09,749,0.09,,,,
5221187.07,12:46.8,63.02,63,0.02,,,,
5221255.12,12:46.9,68.05,68,0.05,,,,
5222149.82,12:47.7,894.7,895,-0.3,,,,
5288449.67,13:54.0,66299.85,66300,-0.15,,,,
5289057.6,13:54.7,607.93,608,-0.07,,,,
5289125.66,13:54.7,68.06,68,0.060000001,,,,
5289811.36,13:55.4,685.7,685,0.7,,,,
5289874.37,13:55.5,63.01,63,0.01,,,,
5289942.43,13:55.5,68.06,68,0.06,,,,
5293474.03,13:59.1,3531.6,3532,-0.399999999,,,,
5326982.2,14:32.6,33508.17,33508,0.17,,,,
5327049.99,14:32.6,67.79,68,-0.21,,,,
5335257.14,14:40.9,8207.15,8207,0.149999999,,,,
5335324.92,14:40.9,67.78,68,-0.22,,,,
5338784.28,14:44.4,3459.36,3459,0.36,,,,
5338852.07,14:44.5,67.79,68,-0.21,,,,
5357311.61,15:02.9,18459.54,18460,-0.46,,,,
5357378.48,15:03.0,66.87,67,-0.13,,,,
5367894.1,15:13.5,10515.62,10515,0.619999999,,,,
5367961.88,15:13.6,67.78,68,-0.22,,,,
5375687.8,15:21.3,7725.92,7726,-0.08,,,,
5375755.59,15:21.4,67.79,68,-0.21,,,,
5375968.55,15:21.6,212.96,213,-0.04,,,,
5376036.32,15:21.6,67.77,67,0.77,,,,
5376824.2,15:22.4,787.88,788,-0.12,,,,
5376891.98,15:22.5,67.78,68,-0.22,,,,
5403613.72,15:49.2,26721.74,26722,-0.260000001,,,,
5404777.08,15:50.4,1163.36,1163,0.36,,,,
5404845.13,15:50.4,68.05,68,0.05,,,,
5405569.42,15:51.2,724.29,725,-0.71,,,,
5405632.44,15:51.2,63.02,63,0.02,,,,
5405700.49,15:51.3,68.05,68,0.05,,,,
5406177.8,15:51.8,477.31,477,0.31,,,,
5665162.21,20:10.8,258984.41,258985,-0.59,,,,
5665229.99,20:10.8,67.78,67,0.78,,,,
5665373.59,20:11.0,143.6,144,-0.4,,,,
5665441.38,20:11.0,67.79,68,-0.21,,,,
5681122.04,20:26.7,15680.66,15680,0.66,,,,
5681189.82,20:26.8,67.78,68,-0.22,,,,
5696432.29,20:42.0,15242.47,15243,-0.53,,,,
5696500.08,20:42.1,67.79,68,-0.21,,,,
5697697.41,20:43.3,1197.33,1197,0.33,,,,
5697765.2,20:43.4,67.79,68,-0.21,,,,
5698229.6,20:43.8,464.4,464,0.399999999,,,,
5698297.39,20:43.9,67.79,68,-0.21,,,,
5729613.3,21:15.2,31315.91,31316,-0.09,,,,
5729681.08,21:15.3,67.78,68,-0.22,,,,
5731260.59,21:16.9,1579.51,1579,0.51,,,,
5731328.37,21:16.9,67.78,68,-0.22,,,,
5731431.95,21:17.0,103.58,103,0.58,,,,
5815547.17,22:41.1,84115.22,84116,-0.78,,,,
5815614.95,22:41.2,67.78,68,-0.22,,,,
5944753.07,24:50.4,129138.12,129138,0.12,,,,
5945286.83,24:50.9,533.76,534,-0.24,,,,
5945354.88,24:51.0,68.05,68,0.05,,,,
5946084.57,24:51.7,729.69,729,0.69,,,,
5946147.59,24:51.7,63.02,63,0.02,,,,
5946215.65,24:51.8,68.06,68,0.060000001,,,,
6068092.43,26:53.7,121876.78,121877,-0.220000001,,,,
6068159.29,26:53.8,66.86,67,-0.14,,,,
6072176.1,26:57.8,4016.81,4017.0000000000005,-0.19,,,,
6072242.96,26:57.8,66.86,67,-0.14,,,,
6074293.65,26:59.9,2050.69,2051,-0.31,,,,
6074360.51,27:00.0,66.86,66,0.859999999,,,,
6074564.15,27:00.2,203.64,204,-0.359999999,,,,
6074631,27:00.2,66.85,67,-0.15,,,,
6074829.49,27:00.4,198.49,198,0.49,,,,
6074896.35,27:00.5,66.86,67,-0.140000001,,,,
6075530.44,27:01.1,634.09,634,0.090000001,,,,
6075597.3,27:01.2,66.86,67,-0.140000001,,,,
6075935.81,27:01.5,338.51,339,-0.49,,,,
6076002.68,27:01.6,66.87,67,-0.13,,,,
6173367.67,28:39.0,97364.99,97365,-0.01,,,,
6173434.53,28:39.0,66.86,67,-0.14,,,,
6208324.22,29:13.9,34889.69,34889,0.689999999,,,,
6208391.08,29:14.0,66.86,67,-0.14,,,,
6227896.49,29:33.5,19505.41,19506,-0.59,,,,
6236379.95,29:42.0,8483.46,8483,0.46,,,,
6240186.58,29:45.8,3806.63,3807,-0.37,,,,
6249721.16,29:55.3,9534.58,9534,0.58,,,,
6250828.63,29:56.4,1107.47,1108,-0.53,,,,
6250896.68,29:56.5,68.05,68,0.05,,,,
6251589.11,29:57.2,692.43,692,0.430000001,,,,
6251652.13,29:57.3,63.02,63,0.02,,,,
6251720.19,29:57.3,68.06,68,0.060000001,,,,
6252197.49,29:57.8,477.3,478,-0.7,,,,
6288434.2,30:34.0,36236.71,36236,0.71,,,,
6289214.34,30:34.8,780.14,780,0.14,,,,
6289282.39,30:34.9,68.05,68,0.05,,,,
6290021.89,30:35.6,739.5,740,-0.5,,,,
6290084.91,30:35.7,63.02,63,0.02,,,,
6290152.96,30:35.8,68.05,68,0.05,,,,
6291048.02,30:36.6,895.06,895,0.06,,,,
6421946.62,32:47.5,130898.6,130899,-0.399999999,,,,
6422014.41,32:47.6,67.79,68,-0.21,,,,
6436976.41,33:02.6,14962,14962,0,,,,
6437863.91,33:03.5,887.5,887,0.5,,,,
6437931.97,33:03.5,68.06,68,0.06,,,,
6438628.28,33:04.2,696.31,697,-0.689999999,,,,
6438691.3,33:04.3,63.02,63,0.02,,,,
6438759.36,33:04.4,68.06,68,0.060000001,,,,
6440551.09,33:06.2,1791.73,1791,0.73,,,,
6504970.04,34:10.6,64418.95,64419,-0.05,,,,
6505036.9,34:10.6,66.86,67,-0.14,,,,
6520252.66,34:25.9,15215.76,15216,-0.24,,,,
6520319.52,34:25.9,66.86,67,-0.140000001,,,,
6520958.76,34:26.6,639.24,639,0.24,,,,
6521025.62,34:26.6,66.86,67,-0.14,,,,
6521516.74,34:27.1,491.12,491,0.12,,,,
6521583.6,34:27.2,66.86,67,-0.140000001,,,,
6521884.01,34:27.5,300.41,300,0.41,,,,
6521950.87,34:27.6,66.86,67,-0.14,,,,
6522258.02,34:27.9,307.15,307,0.149999999,,,,
6522324.89,34:27.9,66.87,67,-0.13,,,,
6527427.71,34:33.0,5102.82,5103,-0.18,,,,
6527494.57,34:33.1,66.86,67,-0.14,,,,
6546884.31,34:52.5,19389.74,19390,-0.260000001,,,,
6546951.16,34:52.6,66.85,67,-0.149999999,,,,
6642702.55,36:28.3,95751.39,95751,0.39,,,,
6642769.4,36:28.4,66.85,67,-0.149999999,,,,
6672983.85,36:58.6,30214.45,30214,0.449999999,,,,
6673051.63,36:58.7,67.78,68,-0.22,,,,
6682714.75,37:08.3,9663.12,9663,0.12,,,,
6682781.6,37:08.4,66.85,67,-0.15,,,,
6698379.48,37:24.0,15597.88,15598,-0.119999999,,,,
6699145.11,37:24.7,765.63,766,-0.37,,,,
6699213.17,37:24.8,68.06,68,0.06,,,,
6700017.91,37:25.6,804.74,804,0.74,,,,
6700080.93,37:25.7,63.02,63,0.02,,,,
6700148.99,37:25.7,68.06,69,-0.939999999,,,,
6700447.54,37:26.0,298.55,298,0.55,,,,
6819099.01,39:24.7,118651.47,118652,-0.53,,,,
6819166.8,39:24.8,67.79,67,0.79,,,,
6823112.01,39:28.7,3945.21,3946,-0.79,,,,
6823179.79,39:28.8,67.78,67,0.78,,,,
6898798.59,40:44.4,75618.8,75619,-0.2,,,,
6898865.45,40:44.5,66.86,67,-0.14,,,,
6899686.13,40:45.3,820.68,821,-0.32,,,,
6899752.99,40:45.4,66.86,67,-0.14,,,,
6900726.41,40:46.3,973.42,973,0.42,,,,
6900793.28,40:46.4,66.87,67,-0.13,,,,
6901732.12,40:47.3,938.84,939,-0.16,,,,
6901798.99,40:47.4,66.87,67,-0.13,,,,
6901892.92,40:47.5,93.93,94,-0.07,,,,
6902276.8,40:47.9,383.88,384,-0.12,,,,
6902343.66,40:47.9,66.86,66,0.86,,,,
6902414.93,40:48.0,71.27,72,-0.73,,,,
6904182.19,40:49.8,1767.26,1767,0.260000001,,,,
6904249.06,40:49.8,66.87,67,-0.130000001,,,,
6904409.7,40:50.0,160.64,160,0.640000001,,,,
6904476.57,40:50.1,66.87,67,-0.13,,,,
6904951.45,40:50.6,474.88,475,-0.12,,,,
6905018.31,40:50.6,66.86,67,-0.140000001,,,,
6905097.99,40:50.7,79.68,80,-0.319999999,,,,
6906341.08,40:51.9,1243.09,1243,0.09,,,,
6906407.95,40:52.0,66.87,67,-0.13,,,,
6906871,40:52.5,463.05,463,0.05,,,,
6906937.88,40:52.5,66.88,67,-0.12,,,,
6907025.56,40:52.6,87.68,87,0.68,,,,
7118510.89,44:24.1,211485.33,211486,-0.67,,,,
7118578.67,44:24.2,67.78,68,-0.22,,,,
7138724.83,44:44.3,20146.16,20146,0.16,,,,
7138792.61,44:44.4,67.78,68,-0.22,,,,
7157340.72,45:02.9,18548.11,18548,0.109999999,,,,
7157408.49,45:03.0,67.77,68,-0.23,,,,
7166577.86,45:12.2,9169.37,9169,0.37,,,,
7166645.64,45:12.2,67.78,68,-0.220000001,,,,
7227924.56,46:13.5,61278.92,61279,-0.08,,,,
7229196.67,46:14.8,1272.11,1272,0.11,,,,
7229264.73,46:14.9,68.06,68,0.060000001,,,,
7230017.71,46:15.6,752.98,753,-0.02,,,,
7230080.73,46:15.7,63.02,63,0.02,,,,
7230148.79,46:15.7,68.06,68,0.06,,,,
7233620.71,46:19.2,3471.92,3472,-0.08,,,,
7255220.68,46:40.8,21599.97,21600,-0.03,,,,
7256075.25,46:41.7,854.57,854,0.57,,,,
7256143.31,46:41.7,68.06,68,0.06,,,,
7256805.92,46:42.4,662.61,663,-0.39,,,,
7256868.94,46:42.5,63.02,63,0.02,,,,
7256936.99,46:42.5,68.05,68,0.05,,,,
7259027.46,46:44.6,2090.47,2091,-0.53,,,,
7277049.2,47:02.6,18021.74,18021,0.74,,,,
7278351.33,47:04.0,1302.13,1302,0.13,,,,
7278419.38,47:04.0,68.05,69,-0.95,,,,
7279112.01,47:04.7,692.63,692,0.63,,,,
7279175.03,47:04.8,63.02,63,0.02,,,,
7279243.09,47:04.8,68.06,68,0.06,,,,
7279600.99,47:05.2,357.9,358,-0.1,,,,
7315109.13,47:40.7,35508.14,35508,0.14,,,,
7315176.92,47:40.8,67.79,68,-0.21,,,,
7325372.18,47:51.0,10195.26,10195,0.26,,,,
7325439.05,47:51.0,66.87,67,-0.13,,,,
7569574.63,51:55.2,244135.58,244136,-0.42,,,,
7570652.78,51:56.3,1078.15,1078,0.15,,,,
7570720.83,51:56.3,68.05,68,0.05,,,,
7571477.69,51:57.1,756.86,757,-0.14,,,,
7571540.71,51:57.1,63.02,63,0.02,,,,
7571608.77,51:57.2,68.06,68,0.06,,,,
7572205.38,51:57.8,596.61,597,-0.39,,,,
7593476.55,52:19.1,21271.17,21271,0.17,,,,
7593918.88,52:19.5,442.33,442,0.33,,,,
7593986.94,52:19.6,68.06,68,0.060000001,,,,
7594170.47,52:19.8,183.53,184,-0.470000001,,,,
7595433.51,52:21.0,1263.04,1263,0.04,,,,
7595496.53,52:21.1,63.02,63,0.02,,,,
7595564.58,52:21.2,68.05,68,0.05,,,,
7597056.84,52:22.7,1492.26,1492,0.26,,,,
7611764.93,52:37.4,14708.09,14708,0.09,,,,
7612171.64,52:37.8,406.71,407,-0.29,,,,
7612239.7,52:37.8,68.06,68,0.060000001,,,,
7612423.23,52:38.0,183.53,184,-0.47,,,,
7613249.11,52:38.9,825.88,826,-0.12,,,,
7613312.12,52:38.9,63.01,63,0.01,,,,
7613380.18,52:39.0,68.06,68,0.06,,,,
7614572.97,52:40.2,1192.79,1192,0.79,,,,
7740262.78,54:45.9,125689.81,125690,-0.189999999,,,,
7740330.56,54:45.9,67.78,68,-0.220000001,,,,
7749498.17,54:55.1,9167.61,9168,-0.39,,,,
7749565.96,54:55.2,67.79,68,-0.21,,,,
7750134.17,54:55.7,568.21,568,0.21,,,,
7750201.96,54:55.8,67.79,68,-0.21,,,,
7750528.88,54:56.1,326.92,327,-0.08,,,,
7750596.67,54:56.2,67.79,67,0.79,,,,
7751151.04,54:56.8,554.37,555,-0.63,,,,
7751218.82,54:56.8,67.78,67,0.78,,,,
7751597.71,54:57.2,378.89,379,-0.11,,,,
7751665.49,54:57.3,67.78,68,-0.22,,,,
7751973.38,54:57.6,307.89,308,-0.11,,,,
7752041.17,54:57.6,67.79,68,-0.21,,,,
7754361.54,55:00.0,2320.37,2320,0.37,,,,
7754429.33,55:00.0,67.79,68,-0.21,,,,
7756020.39,55:01.6,1591.06,1591,0.06,,,,
7756088.17,55:01.7,67.78,68,-0.22,,,,
7756355.58,55:02.0,267.41,267,0.41,,,,
7756423.37,55:02.0,67.79,68,-0.21,,,,
7756898.76,55:02.5,475.39,475,0.39,,,,
7756966.55,55:02.6,67.79,68,-0.21,,,,
7757211.04,55:02.8,244.49,245,-0.51,,,,
7757278.82,55:02.9,67.78,67,0.78,,,,
7757425.23,55:03.0,146.41,147,-0.59,,,,
7757493.01,55:03.1,67.78,68,-0.220000001,,,,
7757727.48,55:03.3,234.47,234,0.470000001,,,,
7757795.26,55:03.4,67.78,68,-0.220000001,,,,
7758439.39,55:04.0,644.13,644,0.13,,,,
7758507.17,55:04.1,67.78,68,-0.22,,,,
7758580.25,55:04.2,73.08,73,0.08,,,,
7758861.99,55:04.5,281.74,282,-0.26,,,,
7758929.78,55:04.5,67.79,67,0.79,,,,
7759014.59,55:04.6,84.81,85,-0.19,,,,
7759481.24,55:05.1,466.65,467,-0.35,,,,
7759549.02,55:05.2,67.78,68,-0.220000001,,,,
7759713.12,55:05.3,164.1,164,0.100000001,,,,
7759780.91,55:05.4,67.79,68,-0.21,,,,
7831262.42,56:16.9,71481.51,71481,0.51,,,,
7831329.29,56:16.9,66.87,67,-0.13,,,,
7832254.67,56:17.9,925.38,925,0.38,,,,
7832321.54,56:17.9,66.87,67,-0.13,,,,
7832418.07,56:18.0,96.53,97,-0.47,,,,
7832519.16,56:18.1,101.09,101,0.09,,,,
7832586.03,56:18.2,66.87,67,-0.13,,,,
7833100.15,56:18.7,514.12,514,0.12,,,,
7833167.02,56:18.8,66.87,67,-0.130000001,,,,
7833558.81,56:19.2,391.79,392,-0.21,,,,
7833625.69,56:19.2,66.88,66,0.880000001,,,,
7834537.62,56:20.1,911.93,912,-0.07,,,,
7834604.49,56:20.2,66.87,67,-0.13,,,,
7835404.38,56:21.0,799.89,800,-0.11,,,,
7835471.25,56:21.1,66.87,67,-0.13,,,,
7835555.19,56:21.2,83.94,84,-0.06,,,,
7842588.47,56:28.2,7033.28,7033,0.279999999,,,,
7842655.34,56:28.3,66.87,67,-0.13,,,,
7844094.33,56:29.7,1438.99,1439,-0.01,,,,
7844161.19,56:29.8,66.86,67,-0.14,,,,
7850410.39,56:36.0,6249.2,6249,0.199999999,,,,
7850477.26,56:36.1,66.87,67,-0.13,,,,
7850553.63,56:36.2,76.37,76,0.37,,,,
7850715.23,56:36.3,161.6,162,-0.399999999,,,,
7850782.09,56:36.4,66.86,67,-0.140000001,,,,
7850876.62,56:36.5,94.53,94,0.53,,,,
7851954.74,56:37.6,1078.12,1078,0.12,,,,
7852021.62,56:37.6,66.88,67,-0.12,,,,
7852358.71,56:38.0,337.09,337,0.09,,,,
7852425.58,56:38.0,66.87,67,-0.13,,,,
7852585.2,56:38.2,159.62,160,-0.38,,,,
7852652.07,56:38.3,66.87,67,-0.13,,,,
7853038.21,56:38.6,386.14,386,0.14,,,,
7853105.08,56:38.7,66.87,67,-0.13,,,,
7853552.48,56:39.2,447.4,447,0.4,,,,
7853619.35,56:39.2,66.87,67,-0.130000001,,,,
7866344.4,56:51.9,12725.05,12725,0.050000001,,,,
7866411.27,56:52.0,66.87,67,-0.130000001,,,,
7869117.37,56:54.7,2706.1,2706,0.100000001,,,,
7869184.23,56:54.8,66.86,67,-0.14,,,,
7869441.27,56:55.0,257.04,257,0.039999999,,,,
7869508.14,56:55.1,66.87,67,-0.13,,,,
7870601.64,56:56.2,1093.5,1093,0.5,,,,
7870668.5,56:56.3,66.86,67,-0.14,,,,
7874969.62,57:00.6,4301.12,4301,0.12,,,,
7876045.47,57:01.6,1075.85,1076,-0.15,,,,
7876113.52,57:01.7,68.05,68,0.05,,,,
7876885.58,57:02.5,772.06,772,0.060000001,,,,
7876948.6,57:02.5,63.02,63,0.02,,,,
7877016.65,57:02.6,68.05,68,0.050000001,,,,
7900113.59,57:25.7,23096.94,23097,-0.060000001,,,,
7981203.86,58:46.8,81090.27,81091,-0.73,,,,
7981774.17,58:47.4,570.31,570,0.31,,,,
7981842.23,58:47.4,68.06,68,0.060000001,,,,
7982543.23,58:48.1,701,701,0,,,,
7982606.25,58:48.2,63.02,63,0.02,,,,
7982674.3,58:48.3,68.05,68,0.05,,,,
7983032.19,58:48.6,357.89,358,-0.109999999,,,,
8176957.24,02:02.6,193925.05,193925,0.05,,,,
8177024.1,02:02.6,66.86,67,-0.140000001,,,,
8209207.98,02:34.8,32183.88,32183.999999999996,-0.119999999,,,,
8209274.84,02:34.9,66.86,67,-0.140000001,,,,
8241545.75,03:07.1,32270.91,32271,-0.09,,,,
8241612.62,03:07.2,66.87,67,-0.13,,,,
8265410.25,03:31.0,23797.63,23797,0.63,,,,
8265478.03,03:31.1,67.78,68,-0.22,,,,
8278612.04,03:44.2,13134.01,13134,0.01,,,,
8278679.83,03:44.3,67.79,68,-0.21,,,,
8278911.93,03:44.5,232.1,232,0.1,,,,
8278979.71,03:44.6,67.78,68,-0.22,,,,
8280402.9,03:46.0,1423.19,1423,0.19,,,,
8280470.68,03:46.1,67.78,68,-0.220000001,,,,
8342178.49,04:47.8,61707.81,61708,-0.189999999,,,,
8342246.28,04:47.8,67.79,68,-0.21,,,,
