bodyparts,RW,RW,RW,LW,LW,LW,RP,RP,RP,PP,PP,PP,LP,LP,LP,Nose,Nose,Nose,HB,HB,HB
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
24,440.0882263,342.4816589,1,435.8642273,677.5997925,1,418.1151733,436.5808716,1,411.1500244,506.2018127,0.999999881,416.0322266,573.118103,1,855.4468994,439.6336365,0.979585409,849.4787598,422.9498596,0.923218727
25,440.0882263,342.4821777,1,435.8642273,677.5997925,1,418.1151733,436.5047607,1,411.1500244,506.1248169,1,416.0322266,573.1420288,0.999999881,855.4468994,439.3849182,0.99528718,848.8158569,422.9498596,0.953129709
26,439.9848938,342.4821777,1,435.7337952,677.7173462,1,418.1625671,436.4756775,1,411.0039368,506.1248169,1,416.1408691,573.1420288,1,856.6921387,439.20224,0.999205053,846.944397,427.2321472,0.993741453
27,439.9721375,342.4821777,1,435.7337952,677.6030884,1,418.1151733,436.4298401,1,410.9356079,506.0848999,1,416.1408691,573.1420288,1,856.9724121,439.20224,0.999995947,846.944397,427.2321472,0.99990809
28,439.9721375,342.5198059,1,435.7337952,677.7173462,0.999999881,418.0250244,436.4756775,1,410.9356079,506.0848999,1,415.9651489,573.1420288,1,856.9724121,438.0354004,0.999990821,846.944397,427.2321472,0.999040663
29,439.9252014,342.425354,1,436.0523987,677.755127,1,417.8844299,436.3959045,1,410.8651733,505.9854431,1,415.9371338,573.1524048,1,856.6921387,437.8453979,0.998737633,853.024292,427.2321472,0.999908686
30,439.8912048,342.425354,1,436.0523987,677.755127,1,417.8844299,436.4756775,1,410.8651733,505.9854431,1,415.7689209,573.1524048,1,854.5999146,437.618042,0.994806468,853.3736572,427.2321472,0.999967337
31,439.8912048,342.5469666,1,436.2400818,677.758728,1,417.8482971,436.4350586,1,410.9356079,505.9434204,1,415.7689209,573.1524048,1,852.2386475,434.0962524,0.200811118,854.1152954,428.0475464,0.99998939
32,439.8912048,342.5469666,1,436.2400818,677.8335571,1,417.8844299,436.491394,1,410.920105,505.9854431,1,415.7689209,573.1524048,1,844.2756958,411.6067505,0.006080144,853.3736572,428.0475464,0.999978304
33,439.9046631,342.4249878,1,436.0055237,677.8605347,1,417.9101257,436.491394,1,410.920105,505.9854431,1,415.7689209,573.1586304,1,842.4938354,406.5700989,0.15895994,853.3736572,428.0475464,0.999973178
34,439.9046631,342.5085754,1,436.0055237,677.8965454,1,417.9101257,436.491394,1,411.0108032,505.9699707,1,415.7826233,573.1409302,1,839.9644165,406.0888672,0.852585018,847.0301514,421.5793457,0.999882817
35,439.9046631,342.5085754,1,436.0234985,677.9320679,1,417.9101257,436.4719849,1,411.0151062,505.9874268,1,415.9185181,573.1409302,1,834.7709351,403.3457642,0.246054262,836.1608276,406.4905701,0.999968648
36,439.9046631,342.4249878,1,435.9449158,677.8965454,1,417.9695435,436.4815063,1,411.0151062,505.9874268,1,415.9185181,573.1607666,1,831.2800903,398.7036743,0.203835025,831.1514282,400.3702393,0.999970317
37,439.9046631,342.5085754,1,436.0234985,677.9320679,1,417.9101257,436.4719849,1,411.0151062,505.9733582,1,415.9377441,573.1607666,1,816.0247803,396.1402283,0.292635292,827.2807007,397.1090698,0.999963641
38,439.9523315,342.5820618,1,436.0234985,677.8965454,1,418.0782776,436.4719849,1,411.0151062,505.9733582,1,415.9377441,573.1226807,1,806.0206909,379.282196,0.999929905,820.5176392,397.0332947,0.999995232
39,440.0461731,342.5820618,1,435.8473511,677.6696777,0.999999642,418.0782776,436.4815063,1,410.8666992,505.9770203,1,415.9152222,573.1266479,1,801.0196533,376.7635498,0.999994278,815.3084106,393.8044434,0.99998045
40,440.0461731,342.6243896,1,435.8473511,677.6201782,0.999999881,417.8573608,436.5435486,1,410.8666992,505.9770203,1,415.7898865,573.1266479,1,800.4309082,374.6286011,0.999997735,808.3275146,387.8665771,0.999971867
41,440.0014038,342.6356812,1,436.1116638,677.6201782,1,417.8573608,436.5435486,1,410.8666992,505.9918518,1,415.9152222,573.1266479,1,796.8191528,371.8325806,0.99999404,802.5270996,384.9892273,0.999981999
42,440.0802002,342.6356812,1,436.1116638,677.6201782,1,417.9457703,436.5435486,1,410.8944092,505.9918518,1,415.9152222,573.3468628,1,796.8191528,371.0267944,0.999997377,802.5270996,384.9892273,0.999964595
43,440.0014038,342.5039978,1,436.1407471,677.6696777,1,417.9457703,436.4831848,1,410.8944092,505.9918518,1,416.164917,573.3468628,1,796.8191528,370.8131104,0.999998212,802.5270996,384.9892273,0.999973774
44,439.9699707,342.5039978,1,436.1407471,677.862915,1,417.9457703,436.4370117,1,410.9502258,505.9040527,1,416.164917,573.4124756,1,798.4054565,369.3218689,0.999991894,803.4018555,388.2226868,0.999992013
45,439.9699707,342.5039978,1,436.1407471,677.862915,1,417.9457703,436.4370117,1,410.9502258,505.9040527,0.999999881,416.2672424,573.4124756,1,801.3622437,366.6994629,0.999982953,807.2216187,388.2226868,0.99999094
46,439.9482117,342.5039978,1,436.3056946,677.862915,1,417.9457703,436.4370117,1,410.8944092,505.8760681,0.999999881,416.2841187,573.2426147,1,804.2720337,365.1763916,0.999977708,810.4798584,388.2226868,0.999991417
47,439.9482117,342.483429,1,436.1407471,677.7735596,1,417.9363403,436.5093079,1,411.0030518,505.8760681,0.999999881,416.2672424,572.9094849,0.999999881,807.3071899,362.6893005,0.999611676,814.1499634,384.802124,0.999991536
48,439.909729,342.5740051,1,436.3056946,677.7647705,1,417.9363403,436.539093,1,411.2493286,506.1263733,0.999999881,416.1625061,572.9094849,0.999999881,807.9269409,356.0801697,0.992995799,818.1856079,373.3097229,0.999990463
