,MM:DD:YYYY hh:mm:ss,time_elapsed_ms,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,FR_Count_Right,FR_Count_Left,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,RPR_Right,RPR_Count_Right,RPR_Left,RPR_Count_Left,synced_time
0,8/26/2026 18:54:44,2520,1.16.3,Barbosa-48h,0,4.21,,1,0,0,Right,Left,0,1,0,0,,,0.04,3,0,3,0,2026-01-27 11:39:55.952
1,8/26/2026 18:54:45,4250,1.16.3,Barbosa-48h,0,4.21,,1,0,0,Left,Left,1,1,0,0,,,0.19,3,0,3,0,2026-01-27 11:39:57.844
2,8/26/2026 18:55:11,30097,1.16.3,Barbosa-48h,0,4.2,,1,0,0,PeriodStart,Left,1,1,0,0,,,,3,0,3,0,2026-08-26 18:55:11.097
3,8/26/2026 18:55:16,35324,1.16.3,Barbosa-48h,0,4.2,3.0,1,0,0,Pellet,Left,1,1,1,0,1.1,,,3,0,3,0,2026-08-26 18:55:16.324
4,8/26/2026 18:55:17,35685,1.16.3,Barbosa-48h,0,4.2,,1,0,0,Redraw,Left,1,1,1,0,,,,3,0,1,0,2026-08-26 18:55:17.685
5,8/26/2026 18:55:18,37404,1.16.3,Barbosa-48h,0,4.2,,1,0,0,Left,Left,2,1,1,0,,,0.09,3,0,1,0,2026-08-26 18:55:18.404
6,8/26/2026 18:55:20,38426,1.16.3,Barbosa-48h,0,4.2,,1,0,0,Right,Left,2,2,1,0,,,0.2,3,0,1,1,2026-08-26 18:55:20.426
7,8/26/2026 18:55:22,41206,1.16.3,Barbosa-48h,0,4.2,2.0,1,0,1,Pellet,Left,2,2,2,0,0.92,6.0,,3,0,1,1,2026-08-26 18:55:22.206
8,8/26/2026 18:55:23,41568,1.16.3,Barbosa-48h,0,4.2,,1,0,1,Redraw,Left,2,2,2,0,,,,3,0,4,0,2026-08-26 18:55:23.568
9,8/26/2026 18:55:24,42969,1.16.3,Barbosa-48h,0,4.2,,1,0,1,Left,Left,3,2,2,0,,,0.08,3,0,4,0,2026-08-26 18:55:24.969
10,8/26/2026 18:55:25,43957,1.16.3,Barbosa-48h,0,4.2,,1,0,1,Right,Left,3,3,2,0,,,0.06,3,0,4,1,2026-08-26 18:55:25.957
11,8/26/2026 18:55:25,44156,1.16.3,Barbosa-48h,0,4.21,,1,0,1,RightEarly,Left,3,3,2,0,,,,3,0,4,1,2026-08-26 18:55:25.156
12,8/26/2026 18:55:25,44378,1.16.3,Barbosa-48h,0,4.2,,1,0,1,Redraw,Left,3,3,2,0,,,,3,0,4,0,2026-08-26 18:55:25.378
13,8/26/2026 18:55:26,44845,1.16.3,Barbosa-48h,0,4.2,,1,0,1,Left,Left,4,3,2,0,,,0.0,3,0,4,0,2026-08-26 18:55:26.845
14,8/26/2026 18:55:27,45454,1.16.3,Barbosa-48h,0,4.21,,1,0,1,Right,Left,4,4,2,0,,,0.09,3,0,4,1,2026-08-26 18:55:27.454
15,8/26/2026 18:55:27,45653,1.16.3,Barbosa-48h,0,4.2,,1,0,1,RightEarly,Left,4,4,2,0,,,,3,0,4,1,2026-08-26 18:55:27.653
16,8/26/2026 18:55:27,45870,1.16.3,Barbosa-48h,0,4.21,,1,0,1,Redraw,Left,4,4,2,0,,,,3,0,1,0,2026-08-26 18:55:27.870
17,8/26/2026 18:55:28,46602,1.16.3,Barbosa-48h,0,4.2,,1,0,1,Left,Left,5,4,2,0,,,0.1,3,0,1,0,2026-08-26 18:55:28.602
18,8/26/2026 18:55:29,47421,1.16.3,Barbosa-48h,0,4.21,,1,0,1,Right,Left,5,5,2,0,,,0.0,3,0,1,1,2026-08-26 18:55:29.421
19,8/26/2026 18:55:32,50642,1.16.3,Barbosa-48h,0,4.2,2.0,1,0,2,Pellet,Left,5,5,3,0,1.41,10.0,,3,0,1,1,2026-08-26 18:55:32.642
20,8/26/2026 18:55:32,51004,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Redraw,Left,5,5,3,0,,,,3,0,4,0,2026-08-26 18:55:32.004
21,8/26/2026 18:55:34,53246,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Left,Left,6,5,3,0,,,0.04,3,0,4,0,2026-08-26 18:55:34.246
22,8/26/2026 18:55:36,54527,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Right,Left,6,6,3,0,,,0.1,3,0,4,1,2026-08-26 18:55:36.527
23,8/26/2026 18:55:36,54726,1.16.3,Barbosa-48h,0,4.21,,1,0,2,RightEarly,Left,6,6,3,0,,,,3,0,4,1,2026-08-26 18:55:36.726
24,8/26/2026 18:55:36,54943,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Redraw,Left,6,6,3,0,,,,3,0,4,0,2026-08-26 18:55:36.943
25,8/26/2026 18:55:36,55410,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Left,Left,7,6,3,0,,,0.0,3,0,4,0,2026-08-26 18:55:36.410
