,date,time,millis,event,pulseCount,RP,LP,DISP,RETR,RW,LW,COND,TONE,FW,WD,RW_QTY,LW_QTY,FW_QTY,TWD_QTY,synced_time
0,01/27/26,11:31:18,13142,RW,5,0,0,0,0,1,0,0,0,0,1,0.004334,0.0,0.0,0.004334,2026-01-27 11:39:50.844
1,01/27/26,11:31:18,13219,WD,10,0,0,0,0,1,0,0,0,0,1,0.004334,0.0,0.0,0.004334,2026-01-27 11:39:50.921
2,01/27/26,11:31:19,14184,LW,6,0,0,0,0,1,1,0,0,0,2,0.004334,0.004334,0.0,0.008667,2026-01-27 11:39:51.886
3,01/27/26,11:31:19,14262,WD,10,0,0,0,0,1,1,0,0,0,2,0.004334,0.004334,0.0,0.008667,2026-01-27 11:39:51.964
4,01/27/26,11:31:20,15321,FW,9,0,0,0,0,1,1,0,0,1,3,0.004334,0.004334,0.004334,0.013001,2026-01-27 11:39:53.023
5,01/27/26,11:31:20,15401,WD,10,0,0,0,0,1,1,0,0,1,3,0.004334,0.004334,0.004334,0.013001,2026-01-27 11:39:53.103
6,01/27/26,11:31:23,18250,RP,1,1,0,0,0,1,1,0,0,1,3,0.004334,0.004334,0.004334,0.013001,2026-01-27 11:39:55.952
7,01/27/26,11:31:25,20142,LP,2,1,1,0,0,1,1,0,0,1,3,0.004334,0.004334,0.004334,0.013001,2026-01-27 11:39:57.844
